filename,sample_id,room_count,unique_classes,unique_class_count,semantic_nonzero_pixels,outline_pixels,sem_shape,outline_shape,valid,reason,present_in_clean_folder,missing_keys,error
high_quality_architectural_10739_Floor-1.npz,high_quality_architectural/10739/Floor-1,1,"0,1,2,5,8",5,37488,37488,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10740_Floor-1.npz,high_quality_architectural/10740/Floor-1,2,"0,1,4,5,8",5,21206,21206,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10749_Floor-1.npz,high_quality_architectural/10749/Floor-1,2,"0,1,2,3,5,8",6,31587,31587,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10756_Floor-1.npz,high_quality_architectural/10756/Floor-1,0,"0,8",2,7379,7379,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1075_Floor-1.npz,high_quality_architectural/1075/Floor-1,2,"0,1,2,5,6,7,8",7,12853,12853,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10768_Floor-1.npz,high_quality_architectural/10768/Floor-1,0,"0,8",2,7171,7171,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10768_Floor-2.npz,high_quality_architectural/10768/Floor-2,0,"0,8",2,5730,5730,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10768_Floor-3.npz,high_quality_architectural/10768/Floor-3,0,"0,8",2,1843,1843,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10770_Floor-1.npz,high_quality_architectural/10770/Floor-1,2,"0,1,2,4,5,8",6,26817,26817,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10771_Floor-2.npz,high_quality_architectural/10771/Floor-2,1,"0,5,8",3,2951,2951,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10775_Floor-1.npz,high_quality_architectural/10775/Floor-1,2,"0,2,7,8",4,5858,5858,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10775_Floor-2.npz,high_quality_architectural/10775/Floor-2,0,"0,8",2,1467,1467,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10787_Floor-1.npz,high_quality_architectural/10787/Floor-1,2,"0,2,7,8",4,33233,33233,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_10_Floor-1.npz,high_quality_architectural/10/Floor-1,0,"0,8",2,1580,1580,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11007_Floor-1.npz,high_quality_architectural/11007/Floor-1,0,"0,8",2,6575,6575,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11008_Floor-1.npz,high_quality_architectural/11008/Floor-1,2,"0,1,2,8",4,43136,43136,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11009_Floor-1.npz,high_quality_architectural/11009/Floor-1,1,"0,2,8",3,16940,16940,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11011_Floor-1.npz,high_quality_architectural/11011/Floor-1,1,"0,2,8",3,14287,14287,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11012_Floor-1.npz,high_quality_architectural/11012/Floor-1,2,"0,1,2,8",4,42168,42168,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11018_Floor-1.npz,high_quality_architectural/11018/Floor-1,2,"0,2,4,8",4,20991,20991,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11019_Floor-1.npz,high_quality_architectural/11019/Floor-1,2,"0,2,5,8",4,33937,33937,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11023_Floor-1.npz,high_quality_architectural/11023/Floor-1,1,"0,5,8",3,24340,24340,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11025_Floor-1.npz,high_quality_architectural/11025/Floor-1,1,"0,4,8",3,9650,9650,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11026_Floor-1.npz,high_quality_architectural/11026/Floor-1,0,"0,8",2,8158,8158,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11028_Floor-1.npz,high_quality_architectural/11028/Floor-1,2,"0,2,4,8",4,17361,17361,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1102_Floor-1.npz,high_quality_architectural/1102/Floor-1,2,"0,1,2,4,5,8",6,24695,24695,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1104_Floor-1.npz,high_quality_architectural/1104/Floor-1,1,"0,1,2,5,8",5,30445,30445,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11051_Floor-1.npz,high_quality_architectural/11051/Floor-1,2,"0,1,4,8",4,13380,13380,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11063_Floor-1.npz,high_quality_architectural/11063/Floor-1,2,"0,4,5,8",4,22657,22657,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11068_Floor-1.npz,high_quality_architectural/11068/Floor-1,0,"0,8",2,5360,5360,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1106_Floor-1.npz,high_quality_architectural/1106/Floor-1,2,"0,1,3,5,8",5,22073,22073,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11084_Floor-1.npz,high_quality_architectural/11084/Floor-1,2,"0,1,2,4,5,8",6,32752,32752,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11089_Floor-1.npz,high_quality_architectural/11089/Floor-1,0,"0,8",2,3554,3554,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11096_Floor-1.npz,high_quality_architectural/11096/Floor-1,2,"0,1,2,5,7,8",6,43801,43801,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11101_Floor-1.npz,high_quality_architectural/11101/Floor-1,2,"0,2,7,8",4,30343,30343,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11109_Floor-1.npz,high_quality_architectural/11109/Floor-1,0,"0,8",2,6278,6278,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11118_Floor-1.npz,high_quality_architectural/11118/Floor-1,1,"0,1,2,5,8",5,31931,31931,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11136_Floor-2.npz,high_quality_architectural/11136/Floor-2,0,"0,8",2,2026,2026,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11153_Floor-1.npz,high_quality_architectural/11153/Floor-1,0,"0,8",2,6681,6681,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11154_Floor-2.npz,high_quality_architectural/11154/Floor-2,0,"0,8",2,3361,3361,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11209_Floor-1.npz,high_quality_architectural/11209/Floor-1,0,"0,8",2,4732,4732,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11213_Floor-1.npz,high_quality_architectural/11213/Floor-1,2,"0,1,2,8",4,22008,22008,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11244_Floor-1.npz,high_quality_architectural/11244/Floor-1,0,"0,8",2,3440,3440,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11244_Floor-2.npz,high_quality_architectural/11244/Floor-2,0,"0,8",2,1961,1961,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11258_Floor-1.npz,high_quality_architectural/11258/Floor-1,2,"0,3,4,8",4,7052,7052,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11268_Floor-1.npz,high_quality_architectural/11268/Floor-1,2,"0,1,2,3,5,8",6,35236,35236,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11279_Floor-1.npz,high_quality_architectural/11279/Floor-1,1,"0,1,2,5,8",5,37503,37503,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1128_Floor-2.npz,high_quality_architectural/1128/Floor-2,0,0,1,0,0,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11297_Floor-1.npz,high_quality_architectural/11297/Floor-1,2,"0,2,8",3,24866,24866,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11298_Floor-2.npz,high_quality_architectural/11298/Floor-2,2,"0,5,7,8",4,16674,16674,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11301_Floor-2.npz,high_quality_architectural/11301/Floor-2,0,"0,8",2,3501,3501,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11302_Floor-1.npz,high_quality_architectural/11302/Floor-1,2,"0,1,2,5,8",5,39412,39412,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11303_Floor-1.npz,high_quality_architectural/11303/Floor-1,2,"0,1,2,4,8",5,36681,36681,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11304_Floor-1.npz,high_quality_architectural/11304/Floor-1,0,"0,8",2,5342,5342,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11327_Floor-1.npz,high_quality_architectural/11327/Floor-1,0,"0,8",2,4827,4827,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11330_Floor-2.npz,high_quality_architectural/11330/Floor-2,2,"0,3,4,8",4,2732,2732,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11345_Floor-1.npz,high_quality_architectural/11345/Floor-1,1,"0,3,8",3,3058,3058,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11354_Floor-1.npz,high_quality_architectural/11354/Floor-1,0,"0,8",2,5552,5552,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11361_Floor-3.npz,high_quality_architectural/11361/Floor-3,0,"0,8",2,1287,1287,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11374_Floor-1.npz,high_quality_architectural/11374/Floor-1,2,"0,1,2,7,8",5,19421,19421,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11409_Floor-1.npz,high_quality_architectural/11409/Floor-1,2,"0,2,3,5,8",5,21417,21417,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1141_Floor-1.npz,high_quality_architectural/1141/Floor-1,2,"0,1,3,5,8",5,30122,30122,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11465_Floor-1.npz,high_quality_architectural/11465/Floor-1,1,"0,1,2,5,6,8",6,12256,12256,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11465_Floor-2.npz,high_quality_architectural/11465/Floor-2,2,"0,3,4,8",4,6962,6962,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11511_Floor-1.npz,high_quality_architectural/11511/Floor-1,0,"0,8",2,4754,4754,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11512_Floor-1.npz,high_quality_architectural/11512/Floor-1,1,"0,1,8",3,6948,6948,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11520_Floor-1.npz,high_quality_architectural/11520/Floor-1,1,"0,2,8",3,15345,15345,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11536_Floor-2.npz,high_quality_architectural/11536/Floor-2,2,"0,3,8",3,7348,7348,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11557_Floor-1.npz,high_quality_architectural/11557/Floor-1,0,"0,8",2,5484,5484,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11580_Floor-1.npz,high_quality_architectural/11580/Floor-1,1,"0,1,3,5,8",5,27721,27721,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11587_Floor-1.npz,high_quality_architectural/11587/Floor-1,0,"0,8",2,3953,3953,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11593_Floor-1.npz,high_quality_architectural/11593/Floor-1,0,"0,8",2,6149,6149,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11616_Floor-1.npz,high_quality_architectural/11616/Floor-1,2,"0,1,2,4,8",5,8733,8733,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11616_Floor-2.npz,high_quality_architectural/11616/Floor-2,2,"0,5,8",3,7572,7572,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1164_Floor-1.npz,high_quality_architectural/1164/Floor-1,1,"0,1,2,8",4,30327,30327,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11656_Floor-1.npz,high_quality_architectural/11656/Floor-1,1,"0,1,2,5,7,8",6,29287,29287,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1165_Floor-1.npz,high_quality_architectural/1165/Floor-1,0,"0,8",2,6973,6973,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11662_Floor-2.npz,high_quality_architectural/11662/Floor-2,0,"0,8",2,2770,2770,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_1168_Floor-1.npz,high_quality_architectural/1168/Floor-1,1,"0,2,3,8",4,24919,24919,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11691_Floor-1.npz,high_quality_architectural/11691/Floor-1,2,"0,2,4,5,8",5,26067,26067,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11694_Floor-1.npz,high_quality_architectural/11694/Floor-1,2,"0,2,8",3,21470,21470,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11694_Floor-2.npz,high_quality_architectural/11694/Floor-2,1,"0,2,5,8",4,16262,16262,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11702_Floor-2.npz,high_quality_architectural/11702/Floor-2,2,"0,2,3,8",4,13846,13846,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11714_Floor-1.npz,high_quality_architectural/11714/Floor-1,1,"0,1,8",3,12779,12779,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11718_Floor-1.npz,high_quality_architectural/11718/Floor-1,2,"0,1,2,8",4,29645,29645,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11746_Floor-1.npz,high_quality_architectural/11746/Floor-1,2,"0,2,3,7,8",5,33367,33367,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11792_Floor-2.npz,high_quality_architectural/11792/Floor-2,2,"0,2,5,8",4,6741,6741,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11800_Floor-1.npz,high_quality_architectural/11800/Floor-1,1,"0,1,2,3,6,8",6,34617,34617,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11802_Floor-1.npz,high_quality_architectural/11802/Floor-1,2,"0,1,2,3,5,8",6,30107,30107,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11826_Floor-1.npz,high_quality_architectural/11826/Floor-1,2,"0,1,3,8",4,12944,12944,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11841_Floor-1.npz,high_quality_architectural/11841/Floor-1,2,"0,1,2,5,7,8",6,28851,28851,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11856_Floor-2.npz,high_quality_architectural/11856/Floor-2,2,"0,2,3,6,8",5,13590,13590,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11869_Floor-1.npz,high_quality_architectural/11869/Floor-1,0,"0,8",2,4473,4473,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11875_Floor-1.npz,high_quality_architectural/11875/Floor-1,2,"0,1,2,4,5,7,8",7,27483,27483,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11878_Floor-1.npz,high_quality_architectural/11878/Floor-1,1,"0,1,2,5,8",5,27899,27899,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11919_Floor-1.npz,high_quality_architectural/11919/Floor-1,2,"0,2,4,7,8",5,29816,29816,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11925_Floor-1.npz,high_quality_architectural/11925/Floor-1,0,"0,8",2,5677,5677,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11932_Floor-1.npz,high_quality_architectural/11932/Floor-1,2,"0,1,2,4,5,8",6,25080,25080,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11947_Floor-1.npz,high_quality_architectural/11947/Floor-1,2,"0,1,2,4,8",5,22481,22481,256x256,256x256,False,room_count_below_min,False,,
high_quality_architectural_11975_Floor-1.npz,high_quality_architectural/11975/Floor-1,1,"0,1,2,8",4,27511,27511,256x256,256x256,False,room_count_below_min,False,,
